Plan de financement;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PLAN DE FINANCEMENT INITIAL;;;;;;;;;;;;;;;;;;;;;
;PLAN DE TRESORERIE;;;;;;€100 600,00;;;;;;;;;;;Taux de Marge ;;;
;COMPTE DE RESULTAT;;;;;;€13 750,00;;;;;;;;Cout des marchandises;€195 490;;41%;;€16 291;Achat /mois
;SEUIL DE RENTABILITE;;;;;;€227 443,09;point mort en J;297,74;;;;;;charges fixes ;€65 760;;;;€17;cout moyen d'un article
;FLUX DE TRESO ESTIME (Capacité de remboursement);;;;;;;;;;;;;;marge brute vs. CA;€79 510;29%;;;958;nombre d'articles en stock
;;;;;;;;;;;;;;;Benefice BRUT sur CA;€13 750;5%;;;;
INDICATEURS DE PERFORMANCE;;;;;;;;seuil de rentabilité;;€227 443;;;;;;;;;;;
;Ratio de Rentabilité Objectif;;;;;;;charges fixes;€65 760;;;;;;CA estimé;€275 000;;;;;
;Robustesse du projet pendant sa phase d'endettement;;;;;;;charges variables;€195 490;;;;;;;;;;;;
;Délais du retour sur Investissement ( RoI);;;;;;;chiffre d'affaires;€275 000;;;;;;;;;;;;
;;;;;;;;seuil de rentabilité= charges fixes / [ ( chiffre d’affaires – charges variables ) / chiffre d’affaires ];;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Tresorerie;;;;;;Compte de Resultat Prévisionnel annuel Brut ( avant impots);;;13750;;;;
;;;;;;;;BESOIN;;RESSOURCES;;;;Chiffre d'affaires ( Ventes);;€275 000;;;;;
;;;;;;;;Travaux d'aménagement ( Accessibilité/securité ERP, Peinture, elec, sol ...);€70 600;€100 000;apport personnel ( capital?);;;;Achat/fournitures;€195 490;;€16 291;;;
;;;;;;;;Achat Materiel ( Ordi / comptoir caisse/ logitiel caisse);€5 000;;Pret bancaire;;;;loyer;€7 200;;600;;;
;;;;;;;;Mobilier ( étagères) /amenagement ( luminaire LED, ventilateurs, zone d etri, réparation..);€10 000;;Subvention de la collectivité;;;;Salaires Brute & Charges type URSAF (30%);€54 600;;3500;1050;;
;;;;;;;;Stock consommable de départ;€3 000;;;;;;Frais Divers ( Assurance, banque, ...);€2 400;;200;;;
;;;;;;;;Frais de création / immatriculation société;€1 500;;;;;;Energie;€1 560;;130;;;
;;;;;;;;Besoin en fond de roulement ( 3 mois);€10 500;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;TOTAL TRESO INITIALE;€100 600;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Mois par mois;;;;;;;Panier Moyen mensuel;€45;€50;;;;
;;;;;;;;;% Total CA annuel;;;;;;Client Castel ( 10% des 78% actifs Castl);351;458,3333333;Visite par jour si ouvert 3j/sem >;38 ;;
;;;;;;;;JANV N;5;€13 750;;;;;CA mensuel sur cette hypothèse;€15 795;€22 917;;;;
;;;;;;;;FEV N;8;€22 000;;;;;;€189 540;€275 000;;;;
;;;;;;;;MARS N;8;€22 000;;;;;;;;;;;
;;;;;;;;AVRIL N;8;€22 000;;;;;;;;;;;
;;;;;;;;MAI N;12;€33 000;;;;HYPOTHESES;;;;;;;
;;;;;;;;JUIN N;12;€33 000;;;;;Scenari;Prudent;median;ambitieux;;;
;;;;;;;;JUILLET N;10;€27 500;;;;;Nombre de Clients reguliers;150;350;500;;;
;;;;;;;;AOUT N;1;€2 750;;;;3529 ;Part de la population ( Actifs de Castel) en%;4 ;10 ;14 ;;;
;;;;;;;;SEPT N;8;€22 000;;;;;Frequence de visite /mois/pers;1;2;3;;;
;;;;;;;;OCT N;8;€22 000;;;;;Panier Moyen par visite;€18;€35;€53;;;
;;;;;;;;NOV N;8;€22 000;;;;;CA mensuel sur cette hypothèse;€2 700;€24 500;€79 500;;;
;;;;;;;;DEC N;12;€33 000;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;€22 917;;;;;;;;;;;
